,Date,Flow
129,Sep-07,937.61
130,Oct-07,724.62
131,Nov-07,1205.49
132,Dec-07,787.36
133,Jan-08,1207.19
134,Feb-08,942.74
135,Mar-08,1362.75
136,Apr-08,881.75
137,May-08,1299.01
138,Jun-08,888.03
139,Jul-08,924.82
140,Aug-08,1009.65
141,Sep-08,727.64
142,Oct-08,997.97
143,Nov-08,790.14
144,Dec-08,1084.76
145,Jan-09,992.31
146,Feb-09,1054.30
147,Mar-09,1128.08
148,Apr-09,545.24
149,May-09,1091.88
150,Jun-09,893.15
151,Jul-09,1213.98
152,Aug-09,1304.26
153,Sep-09,684.45
154,Oct-09,1561.58
155,Nov-09,192.63
156,Dec-09,1665.85
157,Jan-10,899.01
158,Feb-10,1292.54
159,Mar-10,978.19
160,Apr-10,1127.97
161,May-10,690.49
162,Jun-10,1419.77
163,Jul-10,891.27
164,Aug-10,968.23
165,Sep-10,1005.46
166,Oct-10,1021.59
167,Nov-10,1195.15
168,Dec-10,887.78
169,Jan-11,1152.74
170,Feb-11,962.84
171,Mar-11,1058.74
172,Apr-11,1018.13
173,May-11,741.44
174,Jun-11,923.36
175,Jul-11,980.55
176,Aug-11,710.70
177,Sep-11,1110.64
178,Oct-11,879.35
179,Nov-11,749.77
180,Dec-11,989.92
181,Jan-12,724.61
182,Feb-12,899.06
183,Mar-12,1107.81
184,Apr-12,997.18
185,May-12,1124.67
186,Jun-12,1048.94
187,Jul-12,678.10
188,Aug-12,1221.54
189,Sep-12,1002.61
190,Oct-12,1227.11
191,Nov-12,1099.84
192,Dec-12,931.65
193,Jan-13,958.88
194,Feb-13,771.44
195,Mar-13,700.19
196,Apr-13,977.86
197,May-13,1131.39
198,Jun-13,792.47
199,Jul-13,1220.66
200,Aug-13,800.54
201,Sep-13,1266.86
202,Oct-13,1161.04
203,Nov-13,1121.02
204,Dec-13,1060.84
205,Jan-14,1030.25
206,Feb-14,892.44
207,Mar-14,737.66
208,Apr-14,1140.99
209,May-14,665.55
210,Jun-14,1137.70
211,Jul-14,926.35
212,Aug-14,995.71
213,Sep-14,954.98
214,Oct-14,837.78
215,Nov-14,1028.79
216,Dec-14,796.60
217,Jan-15,1390.43
218,Feb-15,1082.74
219,Mar-15,1521.88
220,Apr-15,1128.87
221,May-15,1413.93
222,Jun-15,793.22
223,Jul-15,1255.69
224,Aug-15,919.81
225,Sep-15,679.86
226,Oct-15,1016.21
227,Nov-15,816.44
228,Dec-15,1176.29
229,Jan-16,1065.04
230,Feb-16,1122.73
231,Mar-16,999.57
232,Apr-16,1156.41
233,May-16,1149.16
234,Jun-16,1186.89
235,Jul-16,932.28
236,Aug-16,990.56
237,Sep-16,846.26
238,Oct-16,890.01
239,Nov-16,972.22
240,Dec-16,839.83
